q_no,q_text,q_responses,Q_weighting,indicator,output_name ,type (F/B),Rough Percent contribution ,,,,,,,,,
OF2 ,Distance to Community ,<100 m,8,FR,DistTown7v,Benefit,24,,,,,,,,,
OF2 ,Distance to Community ,100 - 500 m,6,FR,DistTown7v,Benefit,24,,,,,,,,,
OF2 ,Distance to Community ,0.5 - 1 km,2,FR,DistTown7v,Benefit,24,,,,,,,,,
OF2 ,Distance to Community ,1 - 5 km,1,FR,DistTown7v,Benefit,24,,,,,,,,,
OF2 ,Distance to Community ,> 5 km,0,FR,DistTown7v,Benefit,24,,,,,,,,,
OF2,Distance to Community ,<100 m,5,FH,PopDist10,Benefit,10,,,,,,,,,
OF2,Distance to Community ,100 - 500 m,3,FH,PopDist10,Benefit,10,,,,,,,,,
OF2,Distance to Community ,0.5 - 1 km,2,FH,PopDist10,Benefit,10,,,,,,,,,
OF2,Distance to Community ,1 - 5 km,1,FH,PopDist10,Benefit,10,,,,,,,,,
OF2,Distance to Community ,> 5 km,0,FH,PopDist10,Benefit,10,,,,,,,,,
OF2,Distance to Community ,<100 m,2,MB,DistTown19v,,,,,,,,,,,
OF2,Distance to Community ,100 - 500 m,2,MB,DistTown19v,,,,,,,,,,,
OF2,Distance to Community ,0.5 - 1 km,1,MB,DistTown19v,,,,,,,,,,,
OF2,Distance to Community ,1 - 5 km,0,MB,DistTown19v,,,,,,,,,,,
OF2,Distance to Community ,> 5 km,0,MB,DistTown19v,,,,,,,,,,,
OF2,Distance to Community ,<100 m,4,CRI,DistTown17v,,,,,,,,,,,
OF2,Distance to Community ,100 - 500 m,4,CRI,DistTown17v,,,,,,,,,,,
OF2,Distance to Community ,0.5 - 1 km,3,CRI,DistTown17v,,,,,,,,,,,
OF2,Distance to Community ,1 - 5 km,2,CRI,DistTown17v,,,,,,,,,,,
OF2,Distance to Community ,> 5 km,0,CRI,DistTown17v,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,<10 m,7,CRI,DistRd17v,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,10 - 25 m,6,CRI,DistRd17v,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,25 - 50 m,5,CRI,DistRd17v,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,50 - 100 m,4,CRI,DistRd17v,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,100 - 500 m,2,CRI,DistRd17v,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,>500 m,0,CRI,DistRd17v,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,<10 m,7,NR,RdDist5,Benefit,30,,,,,,,,,
OF3,Distance to Frequently travelled Road,10 - 25 m,5,NR,RdDist5,Benefit,30,,,,,,,,,
OF3,Distance to Frequently travelled Road,25 - 50 m,4,NR,RdDist5,Benefit,30,,,,,,,,,
OF3,Distance to Frequently travelled Road,50 - 100 m,3,NR,RdDist5,Benefit,30,,,,,,,,,
