q_no,response_no,q_text,q_responses,q_weighting,indicator,output_name,type_f_b,rough_percent_contribution,dependancies,checked
OF1,OF1_1,Distance to Community,<100 m,8,FR,DistTown7v,Benefit,24,NA,1
OF1,OF1_2,Distance to Community,100 - 500 m,6,FR,DistTown7v,Benefit,24,NA,1
OF1,OF1_3,Distance to Community,0.5 - 1 km,2,FR,DistTown7v,Benefit,24,NA,1
OF1,OF1_4,Distance to Community,1 - 5 km,1,FR,DistTown7v,Benefit,24,NA,1
OF1,OF1_5,Distance to Community,> 5 km,0,FR,DistTown7v,Benefit,24,NA,1
OF1,OF1_1,Distance to Community,<100 m,5,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF1,OF1_2,Distance to Community,100 - 500 m,3,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF1,OF1_3,Distance to Community,0.5 - 1 km,2,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF1,OF1_4,Distance to Community,1 - 5 km,1,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF1,OF1_5,Distance to Community,> 5 km,0,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF1,OF1_1,Distance to Community,<100 m,2,KMH,DistTown19v,Benefit,NA,NA,1
OF1,OF1_2,Distance to Community,100 - 500 m,2,KMH,DistTown19v,Benefit,NA,NA,1
OF1,OF1_3,Distance to Community,0.5 - 1 km,1,KMH,DistTown19v,Benefit,NA,NA,1
OF1,OF1_4,Distance to Community,1 - 5 km,0,KMH,DistTown19v,Benefit,NA,NA,1
OF1,OF1_5,Distance to Community,> 5 km,0,KMH,DistTown19v,Benefit,NA,NA,1
OF1,OF1_1,Distance to Community,<100 m,4,CRI,DistTown17v,Benefit,NA,NA,1
OF1,OF1_2,Distance to Community,100 - 500 m,4,CRI,DistTown17v,Benefit,NA,NA,1
OF1,OF1_3,Distance to Community,0.5 - 1 km,3,CRI,DistTown17v,Benefit,NA,NA,1
OF1,OF1_4,Distance to Community,1 - 5 km,2,CRI,DistTown17v,Benefit,NA,NA,1
OF1,OF1_5,Distance to Community,> 5 km,0,CRI,DistTown17v,Benefit,NA,NA,1
OF2,OF2_1,Distance to Frequently travelled Road,<10 m,7,CRI,DistRd17v,Benefit,NA,NA,1
