0,q_no,response_no,q_text,q_responses,Q_weighting,indicator,output_name ,type (F/B),Rough Percent contribution ,Dependancies,checked,,
1,OF1,OF1_1,Distance to Community ,<100 m,8,FR,DistTown7v,Benefit,24,,1,,
2,OF1,OF1_2,Distance to Community ,100 - 500 m,6,FR,DistTown7v,Benefit,24,,1,,
3,OF1,OF1_3,Distance to Community ,0.5 - 1 km,2,FR,DistTown7v,Benefit,24,,1,,
4,OF1,OF1_4,Distance to Community ,1 - 5 km,1,FR,DistTown7v,Benefit,24,,1,,
5,OF1,OF1_5,Distance to Community ,> 5 km,0,FR,DistTown7v,Benefit,24,,1,,
6,OF1,OF1_1,Distance to Community ,<100 m,5,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
7,OF1,OF1_2,Distance to Community ,100 - 500 m,3,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
8,OF1,OF1_3,Distance to Community ,0.5 - 1 km,2,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
9,OF1,OF1_4,Distance to Community ,1 - 5 km,1,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
10,OF1,OF1_5,Distance to Community ,> 5 km,0,FH,PopDist10,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
11,OF1,OF1_1,Distance to Community ,<100 m,2,KMH,DistTown19v,Benefit,,,1,,
12,OF1,OF1_2,Distance to Community ,100 - 500 m,2,KMH,DistTown19v,Benefit,,,1,,
13,OF1,OF1_3,Distance to Community ,0.5 - 1 km,1,KMH,DistTown19v,Benefit,,,1,,
14,OF1,OF1_4,Distance to Community ,1 - 5 km,0,KMH,DistTown19v,Benefit,,,1,,
15,OF1,OF1_5,Distance to Community ,> 5 km,0,KMH,DistTown19v,Benefit,,,1,,
16,OF1,OF1_1,Distance to Community ,<100 m,4,CRI,DistTown17v,Benefit,,,1,,
17,OF1,OF1_2,Distance to Community ,100 - 500 m,4,CRI,DistTown17v,Benefit,,,1,,
18,OF1,OF1_3,Distance to Community ,0.5 - 1 km,3,CRI,DistTown17v,Benefit,,,1,,
19,OF1,OF1_4,Distance to Community ,1 - 5 km,2,CRI,DistTown17v,Benefit,,,1,,
20,OF1,OF1_5,Distance to Community ,> 5 km,0,CRI,DistTown17v,Benefit,,,1,,
21,OF2,OF2_1,Distance to Frequently travelled Road,<10 m,7,CRI,DistRd17v,Benefit,,,1,,
22,OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,6,CRI,DistRd17v,Benefit,,,1,,
23,OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,5,CRI,DistRd17v,Benefit,,,1,,
24,OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,4,CRI,DistRd17v,Benefit,,,1,,
25,OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,2,CRI,DistRd17v,Benefit,,,1,,
26,OF2,OF2_6,Distance to Frequently travelled Road,>500 m,0,CRI,DistRd17v,Benefit,,,1,,
27,OF2,OF2_1,Distance to Frequently travelled Road,<10 m,7,NR,RdDist5,Benefit,30,,1,,
28,OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,5,NR,RdDist5,Benefit,30,,1,,
29,OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,4,NR,RdDist5,Benefit,30,,1,,
30,OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,3,NR,RdDist5,Benefit,30,,1,,
31,OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,2,NR,RdDist5,Benefit,30,,1,,
32,OF2,OF2_6,Distance to Frequently travelled Road,>500 m,0,NR,RdDist5,Benefit,30,,1,,
33,OF2,OF2_1,Distance to Frequently travelled Road,<10 m,6,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
34,OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,4,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
35,OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,3,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
36,OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,2,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
37,OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,1,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
38,OF2,OF2_6,Distance to Frequently travelled Road,>500 m,0,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1,,
39,OF2,OF2_1,Distance to Frequently travelled Road,<10 m,0,AM,DistRd11,function,3,,1,,
40,OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,1,AM,DistRd11,function,3,,1,,
41,OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,2,AM,DistRd11,function,3,,1,,
42,OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,4,AM,DistRd11,function,3,,1,,
43,OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,5,AM,DistRd11,function,3,,1,,
44,OF2,OF2_6,Distance to Frequently travelled Road,>500 m,7,AM,DistRd11,function,3,,1,,
45,OF2,OF2_1,Distance to Frequently travelled Road,<10 m,0,RSB,DisRd14,,,,,,
46,OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,2,RSB,DisRd14,,,,,,
47,OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,4,RSB,DisRd14,,,,,,
48,OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,5,RSB,DisRd14,,,,,,
49,OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,6,RSB,DisRd14,,,,,,
50,OF2,OF2_6,Distance to Frequently travelled Road,>500 m,8,RSB,DisRd14,,,,,,
57,OF2,OF2_1,Distance to Frequently travelled Road,<10 m,7,STR,DistRd20,,,,,,
58,OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,5,STR,DistRd20,,,,,,
59,OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,4,STR,DistRd20,,,,,,
60,OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,3,STR,DistRd20,,,,,,
61,OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,2,STR,DistRd20,,,,,,
62,OF2,OF2_6,Distance to Frequently travelled Road,>500 m,0,STR,DistRd20,,,,,,
63,OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface. ",8,AM,DistPond11,function,3,,1,,
64,OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",7,AM,DistPond11,function,3,,1,,
65,OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",5,AM,DistPond11,function,3,,1,,
66,OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,AM,DistPond11,function,3,,1,,
67,OF3,OF3_5,Distance to ponded water,"1 - 5 km, and not separated.",2,AM,DistPond11,function,3,,1,,
68,OF3,OF3_6,Distance to ponded water,"1 - 5 km, but separated by those features.",??,AM,DistPond11,function,3,,1,,
69,OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,AM,DistPond11,function,3,,1,,
70,OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface. ",8,WB,DistPond13,function,,NeverWater,1,,
71,OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",6,WB,DistPond13,function,,NeverWater,1,,
72,OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",5,WB,DistPond13,function,,NeverWater,1,,
73,OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",3,WB,DistPond13,function,,NeverWater,1,,
74,OF3,OF3_5,Distance to ponded water,"1 - 5 km, but separated by those features.",??,WB,DistPond13,function,,NeverWater,??,,
75,OF3,OF3_6,Distance to ponded water,"1 - 5 km, and not separated.",2,WB,DistPond13,function,,NeverWater,1,,
76,OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,WB,DistPond13,function,,NeverWater,1,,
77,OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface. ",7,KMH,DistPond19v,Benefit,,,1,,
78,OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",6,KMH,DistPond19v,Benefit,,,1,,
79,OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",5,KMH,DistPond19v,Benefit,,,1,,
80,OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,KMH,DistPond19v,Benefit,,,1,,
81,OF3,OF3_5,Distance to ponded water,"1 - 5 km, and not separated.",3,KMH,DistPond19v,Benefit,,,1,,
82,OF3,OF3_6,Distance to ponded water,"1 - 5 km, but separated by those features.",2,KMH,DistPond19v,Benefit,,,1,,
83,OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,KMH,DistPond19v,Benefit,,,1,,
84,OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface. ",0,Sens,DistPond18,sensitivity,,,1,,
85,OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",2,Sens,DistPond18,sensitivity,,,1,,
86,OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",3,Sens,DistPond18,sensitivity,,,1,,
87,OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,Sens,DistPond18,sensitivity,,,1,,
88,OF3,OF3_5,Distance to ponded water,"1 - 5 km, and not separated.",5,Sens,DistPond18,sensitivity,,,1,,
89,OF3,OF3_6,Distance to ponded water,"1 - 5 km, but separated by those features.",6,Sens,DistPond18,sensitivity,,,1,,
90,OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,6,Sens,DistPond18,sensitivity,,,1,,
91,OF4,OF4_1,Distance to Large ponded water,<100 m,8,WB,DistLake11,function,,,1,,
92,OF4,OF4_2,Distance to Large ponded water,100 m - 1 km,6,WB,DistLake11,function,,,1,,
93,OF4,OF4_3,Distance to Large ponded water,1 -2 km,5,WB,DistLake11,function,,,1,,
94,OF4,OF4_4,Distance to Large ponded water,2-5 km,3,WB,DistLake11,function,,,1,,
95,OF4,OF4_5,Distance to Large ponded water,5-10 km,2,WB,DistLake11,function,,,1,,
96,OF4,OF4_6,Distance to Large ponded water,>10 km,0,WB,DistLake11,function,,,1,,
97,OF5,OF5_1,Relative Elevation in Watershed,numeric ,numeric ,WS,Elev1v,Benefit,7,,1,,
98,OF5,OF5_1,Relative Elevation in Watershed,numeric ,numeric ,SFTS,Elev2v,Benefit,4,,1,,
99,OF5,OF5_1,Relative Elevation in Watershed,numeric ,1 - numeric,SR,Elev3v,Benefit,3,,1,,
101,OF5,OF5_1,Relative Elevation in Watershed,numeric ,1 - numeric,NR,Elev5,function ,10,,1,,
102,OF5,OF5_1,Relative Elevation in Watershed,numeric ,1 - numeric,OE,Elev7,Function,3,,1,,
103,OF5,OF5_1,Relative Elevation in Watershed,numeric ,numeric ,APP,Elev8,Function,3,,1,,
104,OF5,OF5_1,Relative Elevation in Watershed,numeric ,1 - numeric,FH,Elev10,Function,3,,1,,
105,OF5,OF5_1,Relative Elevation in Watershed,numeric ,1 - numeric,WB,Elev11,function,,,1,,
106,OF5,OF5_1,Relative Elevation in Watershed,numeric ,numeric ,Sens,Elev18,sensitivity,,,1,,
107,OF6,OF6_1,Stream Intersect,binary (1/0),binary,WS,OutMap1,Function,50,"NoOutlet, NoOutletX",1,,
108,OF6,OF6_1,Stream Intersect,binary (1/0),binary,SFTS,Outmap2,Function ,?,"NoOutlet, NoOutletX",1,,
109,OF6,OF6_1,Stream Intersect,binary (1/0),binary,SR,Outmap3,Function,50,"NoOutlet, NoOutletX",1,,
110,OF6,OF6_1,Stream Intersect,binary (1/0),binary,PR,Outmap4,Function,100,"NoOutlet, NoOutletX",1,,
111,OF6,OF6_1,Stream Intersect,binary (1/0),binary,NR,Outmap5,function ,?,"NoOutlet, NoOutletX",1,,
112,OF6,OF6_1,Stream Intersect,binary (1/0),binary,OE,Outmap7,Function,100,"NoOutlet, NoOutletX",1,,
113,OF6,OF6_1,Stream Intersect,binary (1/0),binary,APP,MappedOut8,Function,5,"NoOutlet, NoOutletX",1,,
114,OF6,OF6_1,Stream Intersect,binary (1/0),binary,FH,Outmap9,Function,3,"NoOutlet, NoOutletX",1,,
115,OF6,OF6_1,Stream Intersect,binary (1/0),binary,PD,Outmap15,Function,,,1,,
116,OF6,OF6_1,Stream Intersect,binary (1/0),binary,POL,Outmap16,,,,1,,
117,OF6,OF6_1,Stream Intersect,binary (1/0),binary,Sens,Outmap18,sensitivity,,"NoOutlet, NoOutletX",1,,
118,OF7,OF7_1,Aspect ,"Northward (N, NE). north-facing contributing area.",0,WS,Aspect1,Benefit,7,,1,,
119,OF7,OF7_2,Aspect ,"Southward (S, SW). south-facing contributing area.",2,WS,Aspect1,Benefit,7,,1,,
120,OF7,OF7_3,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,WS,Aspect1,Benefit,7,,1,,
121,OF7,OF7_1,Aspect ,"Northward (N, NE). north-facing contributing area.",0,SFTS,Aspect2,Benefit,4,,1,,
122,OF7,OF7_2,Aspect ,"Southward (S, SW). south-facing contributing area.",2,SFTS,Aspect2,Benefit,4,,1,,
123,OF7,OF7_3,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,SFTS,Aspect2,Benefit,4,,1,,
124,OF7,OF7_1,Aspect ,"Northward (N, NE). north-facing contributing area.",0,PR,Aspect4,Function,5,,1,,
125,OF7,OF7_2,Aspect ,"Southward (S, SW). south-facing contributing area.",2,PR,Aspect4,Function,5,,1,,
126,OF7,OF7_3,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,PR,Aspect4,Function,5,,1,,
127,OF7,OF7_1,Aspect ,"Northward (N, NE). north-facing contributing area.",0,NR,Aspect5,function ,10,,1,,
128,OF7,OF7_2,Aspect ,"Southward (S, SW). south-facing contributing area.",2,NR,Aspect5,function ,10,,1,,
129,OF7,OF7_3,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,NR,Aspect5,function ,10,,1,,
130,OF7,OF7_1,Aspect ,"Northward (N, NE). north-facing contributing area.",0,APP,Aspect8,Function,3,,1,,
131,OF7,OF7_2,Aspect ,"Southward (S, SW). south-facing contributing area.",2,APP,Aspect8,Function,3,,1,,
132,OF7,OF7_3,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,APP,Aspect8,Function,3,,1,,
133,OF7,OF7_1,Aspect ,"Northward (N, NE). north-facing contributing area.",3,FR,Aspect7,Function,5,,1,,
134,OF7,OF7_2,Aspect ,"Southward (S, SW). south-facing contributing area.",0,FR,Aspect7,Function,5,,1,,
135,OF7,OF7_3,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,FR,Aspect7,Function,5,,1,,
136,OF7,OF7_1,Aspect ,"Northward (N, NE). north-facing contributing area.",0,AM,Aspect11,function,3,,1,,
137,OF7,OF7_2,Aspect ,"Southward (S, SW). south-facing contributing area.",2,AM,Aspect11,function,3,,1,,
